贵阳,2022-07-25,多云,31,4~5级,南风
贵阳,2022-07-26,多云,31,4~5级,南风
贵阳,2022-07-27,阵雨,30,4~5级,南风
贵阳,2022-07-28,阵雨,26,微风,南风
贵阳,2022-07-29,阵雨,26,微风,南风
贵阳,2022-07-30,阵雨,27,微风,南风
贵阳,2022-07-31,多云,29,3~4级,南风
安顺,2022-07-25,多云,28,微风,无持续风向
安顺,2022-07-26,多云,28,微风,无持续风向
安顺,2022-07-27,阵雨,27,微风,无持续风向
安顺,2022-07-28,中雨,23,微风,无持续风向
安顺,2022-07-29,中雨,24,微风,无持续风向
安顺,2022-07-30,阵雨,24,微风,无持续风向
安顺,2022-07-31,小雨,24,3~4级,南风
碧江,2022-07-25,多云,37,微风,无持续风向
碧江,2022-07-26,多云,37,微风,无持续风向
碧江,2022-07-27,多云,37,微风,无持续风向
碧江,2022-07-28,小雨,36,微风,无持续风向
碧江,2022-07-29,大雨,30,微风,无持续风向
碧江,2022-07-30,多云,35,微风,无持续风向
碧江,2022-07-31,小雨,36,微风,无持续风向
毕节,2022-07-25,多云,31,微风,无持续风向
毕节,2022-07-26,多云,31,微风,无持续风向
毕节,2022-07-27,中雨,30,微风,无持续风向
毕节,2022-07-28,阴,25,微风,无持续风向
毕节,2022-07-29,阴,27,微风,无持续风向
毕节,2022-07-30,多云,24,微风,无持续风向
毕节,2022-07-31,小雨,24,微风,无持续风向
都匀,2022-07-25,晴,32,微风,无持续风向
都匀,2022-07-26,晴,32,微风,无持续风向
都匀,2022-07-27,多云,32,微风,无持续风向
都匀,2022-07-28,小雨,26,微风,无持续风向
都匀,2022-07-29,小雨,26,微风,无持续风向
都匀,2022-07-30,多云,27,微风,无持续风向
都匀,2022-07-31,小雨,29,微风,无持续风向
凯里,2022-07-25,晴,35,微风,北风
凯里,2022-07-26,晴,35,微风,北风
凯里,2022-07-27,晴,35,微风,北风
凯里,2022-07-28,阵雨,31,微风,北风
凯里,2022-07-29,阵雨,30,微风,北风
凯里,2022-07-30,多云,30,微风,北风
凯里,2022-07-31,小雨,33,微风,无持续风向
黔西,2022-07-25,多云,32,微风,无持续风向
黔西,2022-07-26,多云,32,微风,无持续风向
黔西,2022-07-27,中雨,31,微风,无持续风向
黔西,2022-07-28,雷阵雨,27,微风,无持续风向
黔西,2022-07-29,雷阵雨,29,微风,无持续风向
黔西,2022-07-30,多云,28,微风,无持续风向
黔西,2022-07-31,小雨,29,3~4级,南风
水城,2022-07-25,多云,29,微风,东南风
水城,2022-07-26,多云,29,微风,东南风
水城,2022-07-27,阵雨,28,微风,东南风
水城,2022-07-28,中雨,23,微风,东南风
水城,2022-07-29,阵雨,27,微风,东南风
水城,2022-07-30,阵雨,26,微风,东南风
水城,2022-07-31,大雨,21,微风,无持续风向
兴义,2022-07-25,多云,31,微风,南风
兴义,2022-07-26,多云,32,微风,南风
兴义,2022-07-27,多云,32,微风,南风
兴义,2022-07-28,小雨,28,微风,南风
兴义,2022-07-29,小雨,27,微风,南风
兴义,2022-07-30,小雨,25,微风,南风
兴义,2022-07-31,阴,26,微风,无持续风向
遵义,2022-07-25,多云,34,微风,南风
遵义,2022-07-26,多云,35,微风,南风
遵义,2022-07-27,阵雨,34,微风,南风
遵义,2022-07-28,阵雨,27,微风,南风
遵义,2022-07-29,阵雨,28,微风,南风
遵义,2022-07-30,阵雨,29,微风,南风
遵义,2022-07-31,中雨,29,微风,无持续风向
安龙,2022-07-25,多云,30,微风,南风
安龙,2022-07-26,多云,31,微风,南风
安龙,2022-07-27,多云,31,微风,南风
安龙,2022-07-28,小雨,28,微风,南风
安龙,2022-07-29,小雨,26,微风,南风
安龙,2022-07-30,小雨,24,微风,南风
安龙,2022-07-31,中雨,25,微风,无持续风向
白云,2022-07-25,多云,30,4~5级,南风
白云,2022-07-26,多云,30,4~5级,南风
白云,2022-07-27,阵雨,30,4~5级,南风
白云,2022-07-28,阵雨,26,微风,南风
白云,2022-07-29,阵雨,26,微风,南风
白云,2022-07-30,阵雨,26,微风,南风
白云,2022-07-31,多云,27,3~4级,南风
播州,2022-07-25,多云,34,微风,南风
播州,2022-07-26,多云,35,微风,南风
播州,2022-07-27,多云,35,微风,南风
播州,2022-07-28,阵雨,27,微风,南风
播州,2022-07-29,阵雨,28,微风,南风
播州,2022-07-30,阵雨,29,微风,南风
